time	V(vin)-V(vout)	V(vout)
5.691515009991227e-002	6.568484e-001	4.438486e+000
5.721515009991224e-002	6.472058e-001	3.444502e+000
5.741515009991222e-002	6.387956e-001	2.753962e+000
5.761515009991219e-002	6.277254e-001	2.046804e+000
5.771515009991218e-002	6.205633e-001	1.688894e+000
5.781515009991217e-002	6.116244e-001	1.329479e+000
5.791515009991216e-002	5.996564e-001	9.703349e-001
5.801515009991215e-002	5.811685e-001	6.154795e-001
5.811515009991214e-002	5.458816e-001	2.757227e-001
5.818150121527746e-002	4.937245e-001	7.835656e-002
5.820995788413738e-002	4.438125e-001	2.113434e-002
5.822873122554306e-002	3.897368e-001	4.501661e-003
5.824240428900909e-002	3.417158e-001	1.011549e-003
5.825538119501994e-002	2.935707e-001	2.595987e-004
5.826998428461042e-002	2.387340e-001	6.363408e-005
5.829165354022328e-002	1.571132e-001	9.423142e-006
5.832411637824259e-002	3.474592e-002	1.115535e-006
5.837507837240588e-002	-1.574399e-001	7.129995e-005
5.841454709560887e-002	-3.070448e-001	9.239384e-004
5.843734792416228e-002	-3.967801e-001	4.754840e-003
5.845457802064644e-002	-4.729681e-001	1.604558e-002
5.847218752487077e-002	-5.648669e-001	4.163797e-002
5.849025958675566e-002	-6.736157e-001	8.236270e-002
5.851424559354959e-002	-8.313360e-001	1.498414e-001
5.854049224216898e-002	-1.012544e+000	2.323669e-001
5.858152693383634e-002	-1.304433e+000	3.701298e-001
5.864933275102979e-002	-1.795030e+000	6.065564e-001
5.874933275102978e-002	-2.524334e+000	9.624740e-001
5.884933275102977e-002	-3.254507e+000	1.321480e+000
5.894933275102976e-002	-3.982426e+000	1.680979e+000
5.904933275102975e-002	-4.705606e+000	2.039011e+000
5.924933275102973e-002	-6.131329e+000	2.746317e+000
5.954933275102969e-002	-8.199984e+000	3.774657e+000
5.984933275102966e-002	-1.015874e+001	4.749647e+000
6.014933275102963e-002	-1.198127e+001	5.657520e+000
6.044933275102959e-002	-1.364361e+001	6.486002e+000
6.074933275102956e-002	-1.512412e+001	7.224112e+000
6.104933275102953e-002	-1.640363e+001	7.862164e+000
6.134933275102950e-002	-1.746563e+001	8.391838e+000
6.164933275102946e-002	-1.829642e+001	8.806248e+000
6.194933275102943e-002	-1.888531e+001	9.100019e+000
6.224933275102940e-002	-1.922473e+001	9.269350e+000
6.254933275102936e-002	-1.931032e+001	9.312048e+000
6.284933275102933e-002	-1.914097e+001	9.227562e+000
6.314933275102930e-002	-1.871886e+001	9.016982e+000
6.344933275102926e-002	-1.804942e+001	8.683037e+000
6.374933275102923e-002	-1.714126e+001	8.230049e+000
6.404933275102920e-002	-1.600607e+001	7.663900e+000
6.434933275102917e-002	-1.465850e+001	6.991954e+000
6.464933275102913e-002	-1.311595e+001	6.222988e+000
6.494933275102910e-002	-1.139842e+001	5.367121e+000
6.524933275102907e-002	-9.528333e+000	4.435754e+000
6.554933275102903e-002	-7.530399e+000	3.441612e+000
6.574933275102901e-002	-6.140737e+000	2.750991e+000
6.594933275102899e-002	-4.715218e+000	2.043774e+000
6.604933275102898e-002	-3.992178e+000	1.685836e+000
6.614933275102897e-002	-3.264366e+000	1.326403e+000
6.624933275102896e-002	-2.534022e+000	9.671925e-001
6.634933275102894e-002	-1.805798e+000	6.123291e-001
6.644933275102893e-002	-1.088952e+000	2.705387e-001
6.650442341596471e-002	-7.144773e-001	1.032159e-001
6.653770860728961e-002	-5.142079e-001	2.823898e-002
6.655482250961520e-002	-4.302550e-001	8.737376e-003
6.657689832812913e-002	-3.396072e-001	1.253088e-003
6.658836990128350e-002	-2.953809e-001	2.519235e-004
6.660309669117084e-002	-2.396941e-001	6.388824e-005
6.662267694577595e-002	-1.658405e-001	1.072898e-005
6.665749056684900e-002	-3.459541e-002	2.402795e-006
6.671697862207507e-002	1.895796e-001	8.060934e-005
6.674716035243627e-002	3.025577e-001	8.498018e-004
6.677108926710376e-002	3.887990e-001	4.763234e-003
6.678716560823603e-002	4.391111e-001	1.500298e-002
6.680446655028563e-002	4.796780e-001	3.958168e-002
6.682225666995373e-002	5.072032e-001	7.902102e-002
6.684650256692251e-002	5.307325e-001	1.467136e-001
6.687317125158457e-002	5.475129e-001	2.302050e-001
6.691122777956199e-002	5.629577e-001	3.577104e-001
6.698217086718547e-002	5.816985e-001	6.049217e-001
6.708217086718546e-002	5.992298e-001	9.607862e-001
6.718217086718545e-002	6.113456e-001	1.319849e+000
6.728217086718544e-002	6.203952e-001	1.679234e+000
6.738217086718543e-002	6.275890e-001	2.037207e+000
6.758217086718540e-002	6.386712e-001	2.744584e+000
6.788217086718537e-002	6.506534e-001	3.772999e+000
6.818217086718534e-002	6.594372e-001	4.748089e+000
6.848217086718531e-002	6.662230e-001	5.656084e+000
6.878217086718527e-002	6.715984e-001	6.484706e+000
6.908217086718524e-002	6.758900e-001	7.222973e+000
6.938217086718521e-002	6.792974e-001	7.861198e+000
6.968217086718517e-002	6.819458e-001	8.391057e+000
6.998217086718514e-002	6.839180e-001	8.805662e+000
7.028217086718511e-002	6.852694e-001	9.099637e+000
7.058217086718507e-002	6.860304e-001	9.269176e+000
7.088217086718504e-002	6.862221e-001	9.312083e+000
7.118217086718501e-002	6.858463e-001	9.227805e+000
7.148217086718497e-002	6.848946e-001	9.017433e+000
7.178217086718494e-002	6.833467e-001	8.683687e+000
7.208217086718491e-002	6.811619e-001	8.230892e+000
7.238217086718488e-002	6.782765e-001	7.664924e+000
7.268217086718484e-002	6.745992e-001	6.993145e+000
7.298217086718481e-002	6.699810e-001	6.224332e+000
7.328217086718478e-002	6.641917e-001	5.368599e+000
7.358217086718474e-002	6.568389e-001	4.437347e+000
7.388217086718471e-002	6.471930e-001	3.443297e+000
7.408217086718469e-002	6.387787e-001	2.752723e+000
7.428217086718467e-002	6.277022e-001	2.045541e+000
7.438217086718466e-002	6.205451e-001	1.687613e+000
7.448217086718464e-002	6.116095e-001	1.328185e+000
7.458217086718463e-002	5.996186e-001	9.690543e-001
7.468217086718462e-002	5.810826e-001	6.142401e-001
7.478217086718461e-002	5.454689e-001	2.748049e-001
7.484924022747666e-002	4.922431e-001	7.580192e-002
7.487701071712188e-002	4.428622e-001	2.063034e-002
7.489601291062456e-002	3.876490e-001	4.272688e-003
7.490936296532469e-002	3.406543e-001	9.727684e-004
7.492254393436068e-002	2.917123e-001	2.486891e-004
7.493718235245755e-002	2.367345e-001	6.030402e-005
